solver,solved,par2,par10
alpha2_0,268,314.24559330940247,474.24559330940247
alpha2_1,270,257.41820526123047,257.41820526123047
alpha2_2,268,311.7389214038849,471.7389214038849
alpha2_3,270,252.2832329273224,252.2832329273224
alpha2_4,269,299.90028858184814,379.90028858184814
