solver,solved,par2,par10
alpha1_0,60,181.68612837791443,821.6861283779144
alpha1_1,61,171.69747257232666,731.6974725723267
alpha1_2,60,181.67111587524414,821.6711158752441
alpha1_3,61,171.36045861244202,731.360458612442
alpha1_4,61,171.53659462928772,731.5365946292877
