solver,solved,par2,par10
z3alpha,205.6,2788.036544,12020.03654
z3alpha0,187.0,3037.645161,13757.64516
fastsmt_run0,175.0,3375.13691,15055.13691
z3,85,4987.3487429618835,23867.348742961884
cvc5,141,4090.380937099457,18490.380937099457
