timestamp,pid,cpu_percent,memory_mb,cpu_affinity,num_threads,status
13:19:51,2803465,0.0,34.46,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,sleeping
13:19:54,2803465,3.2,34.73,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,sleeping
13:19:54,2803469,0.0,31.44,"[32, 33, 34, 35]",4,sleeping
13:19:54,2803470,0.0,31.45,"[36, 37, 38, 39]",4,sleeping
13:19:54,2803471,0.0,31.43,"[40, 41, 42, 43]",4,sleeping
13:19:54,2803472,0.0,31.45,"[44, 45, 46, 47]",4,sleeping
13:19:57,2803465,3.2,34.73,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,sleeping
13:19:57,2803469,0.0,31.44,"[32, 33, 34, 35]",7,sleeping
13:19:57,2803470,0.0,31.45,"[36, 37, 38, 39]",7,sleeping
13:19:57,2803471,0.0,31.43,"[40, 41, 42, 43]",7,sleeping
13:19:57,2803472,0.0,31.45,"[44, 45, 46, 47]",7,sleeping
13:20:00,2803465,3.5,34.73,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,sleeping
13:20:00,2803469,0.0,31.44,"[32, 33, 34, 35]",9,sleeping
13:20:00,2803470,0.0,31.45,"[36, 37, 38, 39]",9,sleeping
13:20:00,2803471,0.0,31.43,"[40, 41, 42, 43]",9,sleeping
13:20:00,2803472,0.0,31.45,"[44, 45, 46, 47]",9,sleeping
13:20:03,2803465,3.2,34.73,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,sleeping
13:20:03,2803469,0.0,31.83,"[32, 33, 34, 35]",11,sleeping
13:20:03,2803470,0.3,31.83,"[36, 37, 38, 39]",11,sleeping
13:20:03,2803471,0.0,31.83,"[40, 41, 42, 43]",11,sleeping
13:20:03,2803472,0.0,31.85,"[44, 45, 46, 47]",11,sleeping
13:20:06,2803465,3.2,34.73,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,sleeping
13:20:06,2803469,0.6,31.86,"[32, 33, 34, 35]",11,sleeping
13:20:06,2803470,0.0,31.86,"[36, 37, 38, 39]",11,sleeping
13:20:06,2803471,0.3,31.86,"[40, 41, 42, 43]",11,sleeping
13:20:06,2803472,0.3,31.88,"[44, 45, 46, 47]",11,sleeping
13:20:09,2803465,3.2,34.73,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,sleeping
13:20:09,2803469,0.0,31.91,"[32, 33, 34, 35]",10,sleeping
13:20:09,2803470,0.3,31.91,"[36, 37, 38, 39]",10,sleeping
13:20:09,2803471,0.3,31.91,"[40, 41, 42, 43]",10,sleeping
13:20:09,2803472,0.3,31.93,"[44, 45, 46, 47]",10,sleeping
13:20:12,2803465,3.2,34.73,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,sleeping
13:20:12,2803469,0.0,31.96,"[32, 33, 34, 35]",10,sleeping
13:20:12,2803470,0.0,31.96,"[36, 37, 38, 39]",10,sleeping
13:20:12,2803471,0.0,31.96,"[40, 41, 42, 43]",10,sleeping
13:20:12,2803472,0.0,31.98,"[44, 45, 46, 47]",10,sleeping
13:20:16,2803465,3.5,34.73,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,sleeping
13:20:16,2803469,0.0,31.97,"[32, 33, 34, 35]",11,sleeping
13:20:16,2803470,0.3,31.97,"[36, 37, 38, 39]",11,sleeping
13:20:16,2803471,0.3,31.97,"[40, 41, 42, 43]",11,sleeping
13:20:16,2803472,0.0,31.99,"[44, 45, 46, 47]",11,sleeping
