solver,solved,par2,par10
z3alpha,9512,65200.79241013527,302320.79241013527
fastsmt,3892,173223.9509513378,859943.9509513378
z3,9311,68817.77484345436,322017.77484345436
cvc5,8082,94914.63003635406,446434.63003635406
