solver,solved,par2,par10
z3,712,6483.609223842621,29763.60922384262
cvc5,638,7758.303824901581,36958.30382490158
fastsmt,742,5938.162924528122,26818.162924528122
z3alpha2,738,5944.560102462769,27144.56010246277
