solver,solved,par2,par10
fastsmt,15610,206573.29831814766,933213.2983181477
z3,15347,214684.33735895157,962364.3373589516
z3alpha,16631,187195.40950655937,832155.4095065594
cvc5,8824,336469.29525351524,1605989.2952535152
