solver,solved,par2,par10
z3,39383,141431.25941205025,626071.2594120502
z3alpha,40148,128862.37259292603,552302.372592926
cvc5,39313,154167.86013484,644407.86013484
fastsmt,35452,213391.56554579735,1012511.5655457973
