solver,solved,par2,par10
r_0,2559,86405.14632320404,397205.14632320404
r_1,2555,86439.05333328247,397559.05333328247
r_2,2561,86531.78796768188,397171.7879676819
r_3,2578,85084.02979326248,394364.0297932625
r_4,2603,84795.52741360664,392075.52741360664
