strat
(then ctx-simplify cofactor-term-ite degree-shift propagate-values fm propagate-values lra)
(then purify-arith (using-params simplify :elim_and true :blast_distinct true :local_ctx true :pull_cheap_ite true :som true :flat true :push_ite_arith true :hoist_ite true :arith_lhs true) propagate-values lra)
(then fm ctx-simplify lia2card lra)
(then (using-params simplify :elim_and false :blast_distinct false :local_ctx false :pull_cheap_ite false :som false :flat false :push_ite_arith false :hoist_ite false :arith_lhs false) lra)
