solver,solved,par2,par10
z3,3718,369962.78204631805,1678442.782046318
z3alpha,4497,287569.0370864868,1222129.0370864868
fastsmt,4365,282363.7318432331,1280283.731843233
cvc5,5011,249860.9375822544,937700.9375822544
