solver,solved,par2,par10
z3alpha,4887,1052025.0307278633,4788825.030727863
fastsmt,4681,1166342.4631021023,5397542.463102102
z3,4495,1380508.7455546856,6058108.745554686
cvc5,6014,520091.22972655296,1552091.229726553
