solver,solved,par2,par10
z3alpha,1810.6,3766.900773,17478.90077
z3alpha0,1800.6,3863.975691,18375.97569
fastsmt,1766.8,4539.770433,21755.77043
z3,1697,6324.125995159149,29124.12599515915
cvc5,1695,6274.339975357056,29234.339975357056
