solver,solved,par2,par10
fastsmt0,3307,72721.24859189987,323681.2485918999
fastsmt1,3302,72971.71197628975,324331.71197628975
fastsmt2,3310,72736.73607373238,323456.7360737324
fastsmt3,3293,73069.88420367241,325149.8842036724
fastsmt4,3315,72689.263412714,323009.263412714
