solver,solved,par2,par10
z3,2390,88146.28572440147,412466.2857244015
cvc5,2361,90359.37987565994,416999.37987565994
fastsmt_new,3696,63960.47864460945,283800.47864460945
fastsmt,3293,73069.88420367241,325149.8842036724
