solver,solved,par2,par10
z3alpha,4501,280763.02092432976,1213403.0209243298
fastsmt,4365,282363.7318432331,1280283.731843233
z3,3718,369962.78204631805,1678442.782046318
cvc5,5011,249860.9375822544,937700.9375822544
