solver,solved,par2,par10
r_0,1602,3226.695933818817,12026.695933818817
r_1,1603,3216.820729970932,11936.820729970932
r_2,1605,3185.346184492111,11745.346184492111
r_3,1585,2843.1193594932556,13003.119359493256
r_4,1585,2844.265998840332,13004.265998840332
