solver,solved,par2,par10
z3alpha,269,287.1172483,367.1172483
z3alpha0,268.8,307.5010076,403.5010076
fastsmt,270,240.0343744,240.0343744
z3,204,1641.6705393791199,6921.67053937912
cvc5,223,1407.6579942703247,5167.657994270325
