solver,solved,par2,par10
fastsmt,10058,29373.538578271866,135453.53857827187
z3,9864,31841.75050830841,153441.7505083084
z3alpha,10465,21291.126215219498,94811.1262152195
cvc5,10029,30823.01227092743,139223.01227092743
