solver,solved,par2,par10
z3alpha,1622.4,2169.328184,9337.328184
z3alpha0,1583.8,2815.920325,13071.92032
fastsmt,1546.4,4950.193063,18198.19306
z3,1541,5620.806834936142,19300.806834936142
cvc5,1197,11341.617948532104,52541.617948532104
