solver,solved,par2,par10
alpha2_0,3321,71736.03414869308,321576.0341486931
alpha2_1,3453,70152.19561767578,309432.1956176758
alpha2_2,3469,69867.51415252686,307867.51415252686
alpha2_3,3495,69551.9329226017,305471.9329226017
alpha2_4,3316,73353.56905412674,323593.56905412674
